Ace Spades 14 0
Two Spades 2 0
Three Spades 3 0
Four Spades 4 0
Five Spades 5 0
Six Spades 6 0
Seven Spades 7 0
Eight Spades 8 0
Nine Spades 9 0
Ten Spades 10 0
Jack Spades 11 0
Queen Spades 12 0
King Spades 13 0
Ace Hearts 14 1
Two Hearts 2 1
Three Hearts 3 1
Four Hearts 4 1
Five Hearts 5 1
Six Hearts 6 1
Seven Hearts 7 1
Eight Hearts 8 1
Nine Hearts 9 1
Ten Hearts 10 1
Jack Hearts 11 1
Queen Hearts 12 1
King Hearts 13 1
Ace Clubs 14 2
Two Clubs 2 2
Three Clubs 3 2
Four Clubs 4 2
Five Clubs 5 2
Six Clubs 6 2
Seven Clubs 7 2
Eight Clubs 8 2
Nine Clubs 9 2
Ten Clubs 10 2
Jack Clubs 11 2
Queen Clubs 12 2
King Clubs 13 2
Ace Diamonds 14 3
Two Diamonds 2 3
Three Diamonds 3 3
Four Diamonds 4 3
Five Diamonds 5 3
Six Diamonds 6 3
Seven Diamonds 7 3
Eight Diamonds 8 3
Nine Diamonds 9 3
Ten Diamonds 10 3
Jack Diamonds 11 3
Queen Diamonds 12 3
King Diamonds 13 3
